price_per_commodity,product,location,email,max_capacity,contact,delivery_time( num of days),Business_id
$70.43,Grocery,Alabama,bwahncke0@who.int,3900,205-976-6236,24,1
$4388.55,Garden,California,elamas1@mapquest.com,221,951-821-1924,30,2
$2713.52,Toys,Alabama,epetyanin2@freewebs.com,597,205-974-1268,7,3
$4162.22,Tools,Florida,rshalliker3@bing.com,1320,561-950-9863,16,4
$624.26,Health,Ohio,estiegar4@mail.ru,3752,440-631-5301,23,5
$3828.96,Electronics,California,stomkies5@irs.gov,3286,831-698-6602,3,6
$2551.48,Music,California,jlighton6@nsw.gov.au,1045,714-321-4104,2,7
$2165.37,Sports,Ohio,ehaskins7@wix.com,4676,513-286-0166,17,8
$4110.31,Outdoors,Ohio,abilofsky8@about.me,4803,440-608-8168,28,9
$382.22,Jewelry,Florida,hizkovitz9@wiley.com,4985,850-192-2611,26,10
$409.43,Outdoors,Alabama,nrichardesa@latimes.com,3467,334-772-7061,20,11
$291.84,Music,Connecticut,afosbraeyb@bravesites.com,3304,203-530-7927,22,12
$1019.10,Jewelry,Kansas,tmarquessc@examiner.com,1290,913-636-0110,1,13
$4555.75,Health,Alabama,dkillelead@dyndns.org,4033,205-317-8428,11,14
$1207.03,Sports,Florida,sbowe@gravatar.com,724,321-787-8896,30,15
$1015.29,Computers,Florida,lguillondf@miitbeian.gov.cn,682,850-272-4522,14,16
$1677.69,Industrial,North Carolina,cblamphing@springer.com,562,336-537-5599,14,17
$1521.89,Tools,California,bmangeoth@earthlink.net,1535,323-834-7868,22,18
$4999.28,Computers,California,twoloschini@oracle.com,2910,415-288-5622,5,19
$4235.10,Kids,California,dmalecj@meetup.com,4945,858-853-7953,14,20
$2235.90,Beauty,Florida,lbarwickk@businesswire.com,2944,305-234-0917,2,21
$4174.01,Beauty,Kansas,tcorkell@ucla.edu,3139,316-947-6947,6,22
$481.23,Baby,North Carolina,zskarmanm@springer.com,3252,910-302-9439,9,23
$4565.27,Industrial,Alabama,gkolodziejn@walmart.com,951,256-868-9726,22,24
$2125.43,Sports,Connecticut,odarragono@unicef.org,292,203-396-1539,2,25
$649.11,Shoes,Pennsylvania,svescovop@google.de,2276,484-351-3322,22,26
$971.94,Beauty,California,jcorneliusq@sfgate.com,4249,714-530-0495,8,27
$3489.08,Music,Wisconsin,pransomer@flavors.me,2333,920-941-8121,13,28
$3310.68,Music,Ohio,fbriarss@pinterest.com,332,419-758-1881,24,29
$3124.81,Clothing,California,ccopestickt@noaa.gov,3390,916-841-5393,20,30
$2223.76,Health,Ohio,dbrooksu@psu.edu,1738,216-628-8013,8,31
$4563.10,Industrial,Florida,opendridv@twitpic.com,4174,813-555-0240,10,32
$1187.75,Industrial,California,cbartolomucciw@cbc.ca,3847,951-832-7354,2,33
$1929.59,Baby,California,smiskenx@printfriendly.com,2043,310-603-3059,10,34
$2290.74,Books,Florida,mstolly@arizona.edu,2114,941-441-3838,12,35
$3117.69,Music,North Carolina,ebezleyz@canalblog.com,1601,828-266-9073,24,36
$3286.91,Automotive,Connecticut,hcockaday10@theglobeandmail.com,4058,860-649-3757,9,37
$1832.93,Sports,Florida,ghurdle11@mail.ru,487,863-191-5852,25,38
$4898.96,Baby,California,mhudspeth12@de.vu,899,559-542-1603,29,39
$184.64,Tools,California,zlornsen13@microsoft.com,3202,213-519-1989,28,40
$129.97,Kids,Kansas,ehechlin14@sourceforge.net,2463,316-938-8997,25,41
$2587.15,Beauty,North Carolina,vgoodred15@flavors.me,4973,336-467-3047,16,42
$462.83,Toys,North Carolina,bpopov16@ft.com,2290,910-551-4449,25,43
$2048.53,Garden,California,eceyssen17@bigcartel.com,1095,408-712-3359,2,44
$484.96,Home,California,tiggulden18@1688.com,3501,916-930-9124,17,45
$2744.57,Baby,North Carolina,abardsley19@epa.gov,1847,910-329-9554,14,46
$1714.85,Games,Florida,asnare1a@zdnet.com,4513,941-698-1440,26,47
$1080.03,Beauty,California,nbroderick1b@ebay.co.uk,4217,619-362-8642,23,48
$1793.78,Electronics,California,blambin1c@altervista.org,2980,510-384-4911,3,49
$4918.61,Movies,Pennsylvania,fcawson1d@e-recht24.de,3397,717-365-7117,24,50
$1010.81,Clothing,Alabama,wmcilrath1e@tuttocitta.it,258,205-745-5818,9,51
$3226.19,Health,Kansas,blarose1f@drupal.org,43,913-443-8547,12,52
$443.08,Garden,Florida,lmomford1g@tinyurl.com,3609,941-271-8800,12,53
$2062.97,Movies,Florida,cjansey1h@mysql.com,3079,305-954-8754,17,54
$2510.17,Sports,Kansas,blorinez1i@blogs.com,1123,316-977-2186,27,55
$4150.43,Kids,Wisconsin,emeco1j@over-blog.com,2208,262-274-0434,5,56
